title,release_date,price,is_free,tags,publisher,developer,review_summary,platforms
PUBG: BATTLEGROUNDS,"21 Dec, 2017",Free,True,"Survival, Shooter, Battle Royale, Multiplayer, FPS, PvP, Third-Person Shooter, Action, Online Co-Op, Tactical, Co-op, First-Person, Strategy, Early Access, Competitive, Third Person, Team-Based, Difficult, Simulation, Stealth","KRAFTON, Inc.",PUBG Corporation,"69% of the 14,380 user reviews in the last 30 days are positive.",
Europa Universalis V,"4 Nov, 2025","₹3,259.00",False,"Resource Management, 4X, Grand Strategy, Trading, Strategy, Historical, Multiplayer, Simulation, Alternate History, Wargame, Immersive Sim, Diplomacy, Economy, 3D, Realistic, Cinematic, Singleplayer, Building, War, Choices Matter",Paradox Interactive,Paradox Tinto,"77% of the 1,695 user reviews in your language are positive",
ARC Raiders,"30 Oct, 2025","₹2,467.00",False,"Extraction Shooter, PvP, PvE, Third-Person Shooter, Multiplayer, Post-apocalyptic, Online Co-Op, Shooter, Survival, Sci-fi, Atmospheric, Crafting, Action, Inventory Management, Third Person, Open World, Futuristic, Combat, Realistic, Character Customization",Embark Studios,Embark Studios,"90% of the 30,474 user reviews in your language are positive",
Counter-Strike 2,"21 Aug, 2012",Free,True,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",Valve,Valve,"81% of the 83,999 user reviews in the last 30 days are positive.",
Apex Legends™,"4 Nov, 2020",Free,True,"Free to Play, Multiplayer, Battle Royale, FPS, Shooter, First-Person, PvP, Action, Hero Shooter, Team-Based, Tactical, Sci-fi, Loot, Survival, Co-op, Character Customization, Funny, Lore-Rich, Cyberpunk, Cinematic",Electronic Arts,Respawn,"66% of the 4,670 user reviews in the last 30 days are positive.",
Battlefield™ 6,"10 Oct, 2025","₹3,999.00",False,"FPS, Multiplayer, Action, Singleplayer, Military, War, Shooter, Modern, Epic, Realistic, Combat, Tactical, Battle Royale, Destruction, PvP, Violent, Atmospheric, Co-op, Sandbox, Story Rich",Electronic Arts,Battlefield Studios,"72% of the 89,135 user reviews in your language are positive",
Football Manager 26,"4 Nov, 2025","₹4,499.00",False,"Simulation, Sports, Strategy, Football (Soccer), Multiplayer, Singleplayer, Management, Psychological Horror",SEGA,Sports Interactive,"23% of the 2,138 user reviews in your language are positive",
Dispatch,"22 Oct, 2025","₹1,300.00",False,"Choices Matter, Story Rich, Nudity, Sexual Content, Superhero, Singleplayer, Strategy, Comedy, Choose Your Own Adventure, Action, Romance, Funny, Episodic, Point & Click, Cinematic, Comic Book, Indie, Adventure, Soundtrack, LGBTQ+",AdHoc Studio,AdHoc Studio,"93% of the 14,097 user reviews in your language are positive",
Steam Deck,"17 Jan, 2025",,False,,,,,
RV There Yet?,"21 Oct, 2025",₹400.00,False,"Multiplayer, Co-op, Funny, Adventure, Online Co-Op, Physics, First-Person, Exploration, Driving, 3D, Atmospheric, Offroad, Indie, Casual, Stylized, Character Customization, Action, Psychological Horror, Singleplayer, Horror",Nuggets Entertainment,Nuggets Entertainment,"86% of the 9,301 user reviews in your language are positive",
Escape From Duckov,"16 Oct, 2025","₹1,144.00",False,"Adventure, Action, Extraction Shooter, Top-Down Shooter, Looter Shooter, Shooter, Third-Person Shooter, Exploration, Survival, Cute, Base Building, Top-Down, Cartoon, Gun Customization, Funny, Action-Adventure, RPG, Roguelite, Action Roguelike, Indie",bilibili,Team Soda,"95% of the 4,867 user reviews in your language are positive",
